# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
30.00 8.992038
30.50 8.773359
31.00 8.562114
31.50 8.357944
32.00 8.16225
32.50 7.976254
33.00 7.794389
33.50 7.621355
34.00 7.453486
34.50 7.292083
35.00 7.136791
35.50 6.985863
36.00 6.840505
36.50 6.700438
37.00 6.565397
37.50 6.435119
38.00 6.308134
38.50 6.185532
39.00 6.067108
39.50 5.952653
40.00 5.840863
40.50 5.732745
41.00 5.628132
41.50 5.526865
42.00 5.428797
42.50 5.333787
43.00 5.240726
43.50 5.15051
44.00 5.063017
44.50 4.978134
45.00 4.894862
45.50 4.814899
46.00 4.736385
46.50 4.660115
47.00 4.586003
47.50 4.513961
48.00 4.443126
48.50 4.375006
49.00 4.307975
49.50 4.242746
50.00 4.179251
50.50 4.117427
51.00 4.057212
51.50 3.998548
52.00 3.940711
52.50 3.884342
53.00 3.830031
53.50 3.776432
54.00 3.723534
54.50 3.672539
55.00 3.622775
55.50 3.573614
56.00 3.526198
56.50 3.47933
57.00 3.433555
57.50 3.388839
58.00 3.345149
58.50 3.30245
59.00 3.260713
59.50 3.219396
60.00 3.179499
60.50 3.139983
61.00 3.101814
61.50 3.06399
62.00 3.026978
62.50 2.990753
63.00 2.955292
63.50 2.920125
64.00 2.886132
64.50 2.852406
65.00 2.819798
65.50 2.787429
66.00 2.755713
66.50 2.725041
67.00 2.694572
67.50 2.664703
68.00 2.635028
68.50 2.606317
69.00 2.578158
69.50 2.550537
70.00 2.523071
70.50 2.496125
71.00 2.470043
71.50 2.44409
72.00 2.418618
72.50 2.393614
73.00 2.369065
73.50 2.344961
74.00 2.321289
74.50 2.298039
75.00 2.274881
75.50 2.252449
76.00 2.230408
76.50 2.208441
77.00 2.186854
77.50 2.165939
78.00 2.145083
78.50 2.12458
79.00 2.104423
79.50 2.084604
80.00 2.065114
80.50 2.045946
81.00 2.027092
81.50 2.008274
82.00 1.990031
82.50 1.972082
83.00 1.954157
83.50 1.936519
84.00 1.919416
84.50 1.90233
85.00 1.88551
85.50 1.869201
86.00 1.852898
86.50 1.836846
87.00 1.821039
87.50 1.805472
88.00 1.789908
88.50 1.77481
89.00 1.759937
89.25 1.750092
89.75 1.905414
90.25 2.269031
90.75 2.052998
91.25 2.655249
91.75 3.198834
92.25 3.666884
92.75 3.690396
93.25 3.501486
93.75 4.00225
94.25 4.540982
94.75 4.107191
95.25 4.153703
95.75 3.445049
96.25 3.910037
96.75 4.135807
97.25 4.946417
97.75 4.712723
98.25 4.857457
98.75 5.326617
99.25 5.025736
99.75 4.587309
100.25 4.216618
100.75 4.574932
101.25 4.762249
101.75 5.442507
102.25 5.965983
102.75 7.250026
103.25 7.207065
103.75 7.069021
104.25 5.946852
104.75 5.676385
105.25 5.422182
105.75 5.456566
106.25 5.416521
106.75 5.45776
107.25 5.171631
107.75 5.220127
108.25 4.811607
108.75 4.677425
109.25 4.539445
109.75 4.372312
110.25 4.445592
110.75 4.827849
111.25 4.923085
111.75 5.078572
112.25 4.98616
112.75 5.025799
113.25 4.701485
113.75 4.572367
114.25 4.482657
114.75 4.723292
115.25 4.556031
115.75 4.705345
116.25 4.803851
116.75 5.059391
117.25 5.586101
117.75 5.91886
118.25 5.582372
118.75 6.378902
119.25 7.358619
119.75 8.5068
120.25 10.31342
120.75 13.12099
121.25 18.10771
121.75 19.59084
122.25 15.68723
122.75 13.76296
123.25 12.85548
123.75 12.88145
124.25 12.08823
124.75 9.864595
125.25 8.7356
125.75 8.214301
126.25 7.89459
126.75 7.485291
127.25 6.809097
127.75 6.453993
128.25 6.258925
128.75 6.192985
129.25 6.338549
129.75 6.517067
130.25 6.763945
130.75 6.738702
131.25 6.412965
131.75 6.048294
132.25 5.975815
132.75 5.941126
133.25 6.16599
133.75 6.221876
134.25 6.024406
134.75 5.916166
135.25 5.797519
135.75 5.795046
136.25 5.847868
136.75 5.931614
137.25 5.946918
137.75 6.03033
138.25 6.249298
138.75 6.620591
139.25 7.024556
139.75 7.100989
140.25 7.115594
140.75 6.545832
141.25 6.129592
141.75 5.831326
142.25 5.669994
