# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 0.008873921
300.10 0.01179566
300.20 0.0135748
300.30 0.01431025
300.40 0.01450258
300.50 0.01455874
300.60 0.01461489
300.70 0.01467163
300.80 0.01473127
300.90 0.01479826
301.00 0.01487752
301.10 0.01497122
301.20 0.01507717
301.30 0.01519048
301.40 0.0153067
301.50 0.01542349
301.60 0.01554029
301.70 0.01565707
301.80 0.01577387
301.90 0.01589067
302.00 0.01600746
302.10 0.01612425
302.20 0.01624105
302.30 0.01635784
302.40 0.01647464
302.50 0.01659142
302.60 0.01670822
302.70 0.01682546
302.80 0.01694489
302.90 0.01706991
303.00 0.01720424
303.10 0.01734954
303.20 0.01750414
303.30 0.01766433
303.40 0.01782672
303.50 0.01798955
303.60 0.01815239
303.70 0.01831521
303.80 0.01847805
303.90 0.01864088
304.00 0.01880371
304.10 0.01896654
304.20 0.01912938
304.30 0.01929221
304.40 0.01945504
304.50 0.01961787
304.60 0.01978071
304.70 0.01994218
304.80 0.02009694
304.90 0.0202346
305.00 0.02034379
305.10 0.02041946
305.20 0.02046664
305.30 0.02049675
305.40 0.02052012
305.50 0.02054214
305.60 0.02056416
305.70 0.02058619
305.80 0.02060821
305.90 0.02063023
306.00 0.02065226
306.10 0.02067428
306.20 0.0206963
306.30 0.02071833
306.40 0.02074035
306.50 0.02076237
306.60 0.02078439
306.70 0.02080642
306.80 0.02082846
306.90 0.02085054
307.00 0.02087267
307.10 0.02089488
307.20 0.02091716
307.30 0.02093947
307.40 0.0209618
307.50 0.02098413
307.60 0.02100646
307.70 0.02102878
307.80 0.02105111
307.90 0.02107344
308.00 0.02109577
308.10 0.0211181
308.20 0.02114043
308.30 0.02116276
308.40 0.02118508
308.50 0.02120741
308.60 0.02122974
308.70 0.02125544
308.80 0.02129799
308.90 0.02138331
309.00 0.02153989
309.10 0.02178038
309.20 0.02209213
309.30 0.02244664
309.40 0.022818
309.50 0.02319274
309.60 0.02356748
309.70 0.02394222
309.80 0.02431696
309.90 0.02469169
310.00 0.02506643
310.10 0.02544117
310.20 0.02581591
310.30 0.02619065
310.40 0.02656538
310.50 0.02694012
310.60 0.02731485
310.70 0.0276862
310.80 0.02804061
310.90 0.02835203
311.00 0.02859181
311.10 0.02874724
311.20 0.02883103
311.30 0.02887183
311.40 0.02889569
311.50 0.02891617
311.60 0.02893664
311.70 0.02895712
311.80 0.02897759
311.90 0.02899806
312.00 0.02901853
312.10 0.029039
312.20 0.02905947
312.30 0.02907994
312.40 0.02910041
312.50 0.02912089
312.60 0.02914136
312.70 0.02916602
312.80 0.0292116
312.90 0.02931029
313.00 0.02949743
313.10 0.02978876
313.20 0.03016856
313.30 0.03060146
313.40 0.03105529
313.50 0.0315133
313.60 0.03197131
313.70 0.03242932
313.80 0.03288733
313.90 0.03334534
314.00 0.03380334
314.10 0.03426136
314.20 0.03471936
314.30 0.03517738
314.40 0.03563539
314.50 0.0360934
314.60 0.03655141
314.70 0.03701233
314.80 0.03748782
314.90 0.03800027
315.00 0.0385743
315.10 0.03922086
315.20 0.03992899
315.30 0.0406741
315.40 0.04143375
315.50 0.04219634
315.60 0.04295891
315.70 0.04372149
315.80 0.04448407
315.90 0.04524665
316.00 0.04600923
316.10 0.04677181
316.20 0.04753438
316.30 0.04829696
316.40 0.04905954
316.50 0.04982212
316.60 0.0505847
316.70 0.05133656
316.80 0.0520349
316.90 0.05259735
317.00 0.05293344
317.10 0.05300297
317.20 0.05284613
317.30 0.05255341
317.40 0.05220716
317.50 0.0518502
317.60 0.05149324
317.70 0.05113628
317.80 0.05077932
317.90 0.05042235
318.00 0.05006539
318.10 0.04970843
318.20 0.04935147
318.30 0.04899451
318.40 0.04863754
318.50 0.04828058
318.60 0.04792362
318.70 0.04757487
318.80 0.04726707
318.90 0.0470633
319.00 0.04703282
319.10 0.04720637
319.20 0.04755322
319.30 0.04800408
319.40 0.04849591
319.50 0.04899595
319.60 0.04949598
319.70 0.04999601
319.80 0.05049605
319.90 0.05099608
320.00 0.05149611
320.10 0.05199615
320.20 0.05249618
320.30 0.05299621
320.40 0.05349625
320.50 0.05399628
