# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 0.5141712
300.10 0.5146753
300.20 0.5151794
300.30 0.5156835
300.40 0.5160868
300.50 0.5165908
300.60 0.5170949
300.70 0.517599
300.80 0.5181031
300.90 0.5186072
301.00 0.5191113
301.10 0.5196154
301.20 0.5201195
301.30 0.5206236
301.40 0.5210268
301.50 0.5215309
301.60 0.522035
301.70 0.5225391
301.80 0.5230432
301.90 0.5235473
302.00 0.5239506
302.10 0.5244546
302.20 0.5249587
302.30 0.5254628
302.40 0.5259669
302.50 0.526471
302.60 0.5269751
302.70 0.5274792
302.80 0.5279833
302.90 0.5283865
303.00 0.5288906
303.10 0.5293947
303.20 0.5298988
303.30 0.5304029
303.40 0.530907
303.50 0.5314111
303.60 0.5318144
303.70 0.5323184
303.80 0.5328225
303.90 0.5333266
304.00 0.5338307
304.10 0.5343348
304.20 0.5347381
304.30 0.5352422
304.40 0.5357462
304.50 0.5362503
304.60 0.5367544
304.70 0.5372585
304.80 0.5377626
304.90 0.5381659
305.00 0.53867
305.10 0.5391741
305.20 0.5396781
305.30 0.5401822
305.40 0.5406863
305.50 0.5410896
305.60 0.5415937
305.70 0.5420978
305.80 0.5426019
305.90 0.543106
306.00 0.5435092
306.10 0.5440133
306.20 0.5445174
306.30 0.5450215
306.40 0.5455256
306.50 0.5460297
306.60 0.5464329
306.70 0.546937
306.80 0.5474411
306.90 0.5479452
307.00 0.5484493
307.10 0.5489534
307.20 0.5493567
307.30 0.5498608
307.40 0.5503648
307.50 0.5508689
307.60 0.5512722
307.70 0.5517763
307.80 0.5522804
307.90 0.5527845
308.00 0.5532886
308.10 0.5536918
308.20 0.5541959
308.30 0.5547
308.40 0.5552041
308.50 0.5557082
308.60 0.5561115
308.70 0.5566156
308.80 0.5571196
308.90 0.5576237
309.00 0.5581278
309.10 0.5585311
309.20 0.5590352
309.30 0.5595393
309.40 0.5600434
309.50 0.5604466
309.60 0.5609507
309.70 0.5614548
309.80 0.5619589
309.90 0.5623622
310.00 0.5628663
310.10 0.5633703
310.20 0.5638744
310.30 0.5643785
310.40 0.5647818
310.50 0.5652859
310.60 0.56579
310.70 0.5662941
310.80 0.5666973
310.90 0.5672014
311.00 0.5677055
311.10 0.5682096
311.20 0.5687137
311.30 0.569117
311.40 0.5696211
311.50 0.5701251
311.60 0.5705284
311.70 0.5710325
311.80 0.5715366
311.90 0.5720407
312.00 0.572444
312.10 0.572948
312.20 0.5734521
312.30 0.5738554
312.40 0.5743595
312.50 0.5748636
312.60 0.5753677
312.70 0.5757709
312.80 0.576275
312.90 0.5767791
313.00 0.5772832
313.10 0.5776865
313.20 0.5781906
313.30 0.5786947
313.40 0.5790979
313.50 0.579602
313.60 0.5801061
313.70 0.5805094
313.80 0.5810135
313.90 0.5815176
314.00 0.5820217
314.10 0.5824249
314.20 0.582929
314.30 0.5834331
314.40 0.5838364
314.50 0.5843405
314.60 0.5848446
314.70 0.5853486
314.80 0.5857519
314.90 0.586256
315.00 0.5867601
315.10 0.5871634
315.20 0.5876675
315.30 0.5881715
315.40 0.5885748
315.50 0.5890789
315.60 0.589583
315.70 0.5899863
315.80 0.5904904
315.90 0.5909944
316.00 0.5913977
316.10 0.5919018
316.20 0.5924059
