# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
300.00 1.98141
300.10 1.981006
300.20 1.980589
300.30 1.98019
300.40 1.979921
300.50 1.979653
300.60 1.979384
300.70 1.979116
300.80 1.978847
300.90 1.978578
301.00 1.978308
301.10 1.978039
301.20 1.97777
301.30 1.977501
301.40 1.977232
301.50 1.976963
301.60 1.976692
301.70 1.976423
301.80 1.976154
301.90 1.975884
302.00 1.975614
302.10 1.975277
302.20 1.974933
302.30 1.974589
302.40 1.974245
302.50 1.9739
302.60 1.973557
302.70 1.973212
302.80 1.972868
302.90 1.972524
303.00 1.97218
303.10 1.971836
303.20 1.971492
303.30 1.971153
303.40 1.970856
303.50 1.970559
303.60 1.970262
303.70 1.969965
303.80 1.969668
303.90 1.96937
304.00 1.969073
304.10 1.968776
304.20 1.968479
304.30 1.968181
304.40 1.967884
304.50 1.967587
304.60 1.967268
304.70 1.966947
304.80 1.966625
304.90 1.966303
305.00 1.965982
305.10 1.965661
305.20 1.965339
305.30 1.965017
305.40 1.964696
305.50 1.964374
305.60 1.964053
305.70 1.963732
305.80 1.96341
305.90 1.963088
306.00 1.962766
306.10 1.962446
306.20 1.962124
306.30 1.961802
306.40 1.961458
306.50 1.961107
306.60 1.960756
306.70 1.960405
306.80 1.960055
306.90 1.959703
307.00 1.959353
307.10 1.959002
307.20 1.958651
307.30 1.958301
307.40 1.95795
307.50 1.9576
307.60 1.957249
307.70 1.956898
307.80 1.956549
307.90 1.956198
308.00 1.955848
308.10 1.955497
308.20 1.955147
308.30 1.954797
308.40 1.954447
308.50 1.954096
308.60 1.953747
308.70 1.953396
308.80 1.953053
308.90 1.952724
309.00 1.952431
309.10 1.952137
309.20 1.951844
309.30 1.95155
309.40 1.95124
309.50 1.950831
309.60 1.950422
309.70 1.950012
309.80 1.949604
309.90 1.949195
310.00 1.948787
310.10 1.948378
310.20 1.947969
310.30 1.947561
310.40 1.947206
310.50 1.946912
310.60 1.946617
310.70 1.946321
310.80 1.946026
310.90 1.94573
311.00 1.945412
311.10 1.945095
311.20 1.944777
311.30 1.944433
311.40 1.944017
311.50 1.943602
311.60 1.943186
311.70 1.942771
311.80 1.942356
311.90 1.94194
312.00 1.941525
312.10 1.94111
